Iteration,CollectionTable,Assembly,Terminal,ObjectiveValue
50,0.0,6.0,4.0,47.01641885403429
49,6.0,4.0,5.0,45.132280959806
51,4.0,4.0,0.0,45.641463864079
52,2.0,1.0,5.0,46.41055847141046
53,5.0,0.0,1.0,43.902950326391064
54,3.0,5.0,3.0,43.60819318901087
55,1.0,3.0,1.0,46.680305237676286
56,1.0,4.0,6.0,48.34016264548842
57,5.0,1.0,5.0,46.13722559962086
58,6.0,5.0,1.0,43.669247266911746
59,1.0,0.0,0.0,46.56293155796088
60,0.0,1.0,0.0,45.88289155301171
61,4.0,0.0,1.0,43.16040688448217
62,2.0,2.0,1.0,43.38072707461765
63,0.0,6.0,6.0,46.80992401059778
64,2.0,1.0,1.0,45.903408380979215
66,0.0,5.0,4.0,43.29872499332266
65,6.0,4.0,6.0,45.06645548137732
67,6.0,1.0,0.0,45.719746346832835
68,4.0,6.0,1.0,46.76552566322902
70,3.0,6.0,5.0,47.014650545192616
69,3.0,0.0,4.0,43.15768584239474
71,5.0,3.0,3.0,42.96663990887714
72,0.0,1.0,3.0,45.45370193785589
74,6.0,4.0,0.0,44.70503051396128
73,3.0,0.0,1.0,43.13145183773876
75,4.0,0.0,0.0,43.249592878773505
76,1.0,1.0,1.0,48.160721698417895
77,4.0,1.0,1.0,45.7308767763231
79,3.0,4.0,2.0,45.17356770935541
78,4.0,5.0,3.0,43.52958406891765
80,6.0,3.0,1.0,43.072622773983284
82,3.0,1.0,1.0,45.99985833167006
81,4.0,2.0,1.0,43.34921432148168
83,1.0,4.0,3.0,48.7551898520912
85,4.0,3.0,2.0,43.28179847926177
84,1.0,5.0,4.0,47.885681907041764
86,4.0,2.0,3.0,43.05796018698211
87,5.0,3.0,2.0,43.41748701000251
88,4.0,3.0,3.0,43.26578174049394
89,3.0,0.0,3.0,43.146010696726094
90,2.0,1.0,4.0,45.95573850703307
92,5.0,6.0,6.0,46.75667647794215
91,3.0,1.0,2.0,46.22945925722924
93,6.0,0.0,3.0,43.078261526780985
94,4.0,5.0,0.0,43.1756255746625
95,1.0,0.0,6.0,46.84886922087174
96,6.0,2.0,6.0,44.009440022109196
97,3.0,1.0,0.0,46.4959232809102
98,2.0,0.0,3.0,43.62536843580436
99,1.0,4.0,1.0,49.46334980756611
